id,label,uuid
1,'baking_desserts',38d2d6b5-17e2-411d-b5cb-fa499d0f86a9
2,'continents',a7bd5edd-ad4b-45bc-ba94-a00938e62de8
3,'preparation_methods',7109bff9-7098-4879-a08d-820a827dc3d2
4,'drinks',5f7f8923-469b-46a6-a3fb-a99e88814db4
5,'seasonal',da31c344-9726-4cf8-b9f3-9640e0b7031e
